Datum;Name;Punkte;Geplündert
2025-12-06;Falke92;714;9324
2025-12-06;Knall-Tüte;696;14477
2025-12-06;*Under*Gaffer*;691;3378
2025-12-06;Deathstroke;681;28713
2025-12-06;Edga31;654;44825
2025-12-06;QUINCY28;640;16742
2025-12-06;xApathetic (SG und SF);618;12503
2025-12-06;Kenmalein;613;7225
2025-12-06;SourScr3am;628;13244
2025-12-06;Payan;590;9448
2025-12-06;Daco;580;4732
2025-12-06;BeniCG;576;3221
2025-12-06;tequila;567;3384
2025-12-06;##SIDEY## (SF Bully);573;5762
2025-12-06;pac man;541;5576
2025-12-06;Hanutamatata;539;3856
2025-12-06;KobeerBryant (Diplomat);534;3106
2025-12-06;nickenchuggets;520;15559
2025-12-06;Rella;506;3644
2025-12-06;Göttin vom Norden;494;4719
2025-12-06;GrafvonT.;490;929
2025-12-06;HoNiScH (SF DuLLi);499;3890
2025-12-06;T R A S H;475;3724
2025-12-06;Honigkuchen;456;1748
2025-12-06;Scorp89;388;250
2025-12-07;Falke92;774;9324
2025-12-07;Knall-Tüte;726;14477
2025-12-07;*Under*Gaffer*;716;4541
2025-12-07;Deathstroke;708;33483
2025-12-07;Edga31;695;52315
2025-12-07;QUINCY28;692;26360
2025-12-07;xApathetic (SG und SF);654;12503
2025-12-07;Kenmalein;643;7225
2025-12-07;SourScr3am;636;13244
2025-12-07;Payan;618;9448
2025-12-07;BeniCG;606;3221
2025-12-07;Daco;601;4732
2025-12-07;##SIDEY## (SF Bully);595;8662
2025-12-07;Hanutamatata;593;3856
2025-12-07;tequila;586;3384
2025-12-07;pac man;578;5576
2025-12-07;nickenchuggets;558;15559
2025-12-07;Rella;540;3644
2025-12-07;KobeerBryant (Diplomat);534;3106
2025-12-07;GrafvonT.;515;929
2025-12-07;HoNiScH (SF DuLLi);504;3890
2025-12-07;T R A S H;496;7426
2025-12-07;Göttin vom Norden;494;4719
2025-12-07;Honigkuchen;476;1748
2025-12-07;Scorp89;436;250
