Datum;Name;Punkte;Geplündert
2025-12-06;Die Wölfe;688;17979
2025-12-06;Temeraire1893;582;3458
2025-12-06;Mangekyou;571;3975
2025-12-06;PixelPartner;584;1576
2025-12-06;Tee161;562;27832
2025-12-06;panzerschlächter;570;2163
2025-12-06;Serberus1985;558;3681
2025-12-06;Herr Winkler;553;2595
2025-12-06;Huggy-Bärs Dorf;541;0
2025-12-06;Alex2589;530;4420
2025-12-06;gerweler;502;4859
2025-12-06;Zuko;491;13940
2025-12-06;4g1v3m3;423;1842
2025-12-06;4pfel;419;899
2025-12-06;BoyRey94;375;2428
2025-12-06;Wilma goes Sauna;351;2904
2025-12-06;minimimi;304;1069
2025-12-07;Die Wölfe;733;17979
2025-12-07;Temeraire1893;622;3458
2025-12-07;panzerschlächter;601;2163
2025-12-07;Mangekyou;590;6743
2025-12-07;Tee161;590;27832
2025-12-07;PixelPartner;584;1576
2025-12-07;Serberus1985;569;3681
2025-12-07;Huggy-Bärs Dorf;568;0
2025-12-07;Herr Winkler;568;2595
2025-12-07;Alex2589;558;4545
2025-12-07;Zuko;541;22038
2025-12-07;gerweler;533;4859
2025-12-07;4pfel;435;983
2025-12-07;4g1v3m3;426;3673
2025-12-07;BoyRey94;375;2428
2025-12-07;Wilma goes Sauna;374;2904
2025-12-07;minimimi;310;1069
